('backend/dataset/LFW/lfw-deepfunneled/Mohammad_Fares/Mohammad_Fares_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Angel_Maza/Angel_Maza_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/David_Westerfield/David_Westerfield_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Beth_Jones/Beth_Jones_0002.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Queen_Elizabeth_II/Queen_Elizabeth_II_0008.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Mark_Martin/Mark_Martin_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Din_Samsudin/Din_Samsudin_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Chan_Ho_Park/Chan_Ho_Park_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Kevin_Marshall/Kevin_Marshall_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Walter_Mondale/Walter_Mondale_0002.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Brandon_Larson/Brandon_Larson_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Cheryl_Hines/Cheryl_Hines_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Ken_Watanabe/Ken_Watanabe_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Paul_Burrell/Paul_Burrell_0008.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Mesut_Yilmaz/Mesut_Yilmaz_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Sandra_Bullock/Sandra_Bullock_0004.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Natalie_Stewart/Natalie_Stewart_0001.jpg', 'Empty cropped face')
('backend/dataset/LFW/lfw-deepfunneled/Tatiana_Shchegoleva/Tatiana_Shchegoleva_0001.jpg', 'No face detected')
('backend/dataset/LFW/lfw-deepfunneled/Luis_Horna/Luis_Horna_0002.jpg', 'No face detected')
